filename,filepath,condition,voltage,noise,run,true_label,mse
blocked_4V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run03.wav,blocked,4V,quiet,3,1,69.97815704345703
blocked_4V_quiet_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run04.wav,blocked,4V,quiet,4,1,69.06101989746094
blocked_4V_quiet_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run05.wav,blocked,4V,quiet,5,1,68.07244110107422
blocked_4V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run06.wav,blocked,4V,quiet,6,1,65.796875
blocked_4V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run07.wav,blocked,4V,quiet,7,1,68.62248229980469
blocked_4V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run08.wav,blocked,4V,quiet,8,1,66.52996063232422
blocked_4V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run09.wav,blocked,4V,quiet,9,1,67.55908966064453
blocked_4V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run10.wav,blocked,4V,quiet,10,1,66.55127716064453
blocked_8V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run01.wav,blocked,8V,noise,1,1,59.119667053222656
blocked_8V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run02.wav,blocked,8V,noise,2,1,58.997467041015625
blocked_8V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run03.wav,blocked,8V,noise,3,1,58.94499588012695
blocked_8V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run04.wav,blocked,8V,noise,4,1,59.97026824951172
blocked_8V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run05.wav,blocked,8V,noise,5,1,58.93470764160156
blocked_8V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run06.wav,blocked,8V,noise,6,1,59.27278137207031
