filename,filepath,condition,voltage,noise,run,true_label,mse
blocked_12V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run01.wav,blocked,12V,noise,1,1,66.81138610839844
blocked_12V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run02.wav,blocked,12V,noise,2,1,60.57781982421875
blocked_12V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run03.wav,blocked,12V,noise,3,1,58.0281982421875
blocked_12V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run04.wav,blocked,12V,noise,4,1,58.54092025756836
blocked_12V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run05.wav,blocked,12V,noise,5,1,58.46608352661133
blocked_12V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run06.wav,blocked,12V,noise,6,1,59.174991607666016
blocked_12V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run07.wav,blocked,12V,noise,7,1,57.333900451660156
blocked_12V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run08.wav,blocked,12V,noise,8,1,60.95893478393555
blocked_12V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run09.wav,blocked,12V,noise,9,1,56.137420654296875
blocked_12V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\noise\blocked_12V_noise_run10.wav,blocked,12V,noise,10,1,59.684871673583984
blocked_12V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run01.wav,blocked,12V,quiet,1,1,77.46261596679688
blocked_12V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run02.wav,blocked,12V,quiet,2,1,79.25359344482422
blocked_12V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run03.wav,blocked,12V,quiet,3,1,78.6739501953125
blocked_12V_quiet_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run04.wav,blocked,12V,quiet,4,1,79.6645278930664
blocked_12V_quiet_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run05.wav,blocked,12V,quiet,5,1,77.99915313720703
blocked_12V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run06.wav,blocked,12V,quiet,6,1,80.43889617919922
blocked_12V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run07.wav,blocked,12V,quiet,7,1,78.36150360107422
blocked_12V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run08.wav,blocked,12V,quiet,8,1,78.15747833251953
blocked_12V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run09.wav,blocked,12V,quiet,9,1,79.83491516113281
blocked_12V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\12V\quiet\blocked_12V_quiet_run10.wav,blocked,12V,quiet,10,1,80.97708129882812
blocked_4V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run01.wav,blocked,4V,noise,1,1,38.63444900512695
blocked_4V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run02.wav,blocked,4V,noise,2,1,38.90389633178711
blocked_4V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run03.wav,blocked,4V,noise,3,1,40.59846878051758
blocked_4V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run04.wav,blocked,4V,noise,4,1,38.92695999145508
blocked_4V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run05.wav,blocked,4V,noise,5,1,39.406211853027344
blocked_4V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run06.wav,blocked,4V,noise,6,1,37.663963317871094
blocked_4V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run07.wav,blocked,4V,noise,7,1,39.76691436767578
blocked_4V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run08.wav,blocked,4V,noise,8,1,39.685142517089844
blocked_4V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run09.wav,blocked,4V,noise,9,1,37.7345085144043
blocked_4V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\noise\blocked_4V_noise_run10.wav,blocked,4V,noise,10,1,38.17591857910156
blocked_4V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run01.wav,blocked,4V,quiet,1,1,42.83277893066406
blocked_4V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run02.wav,blocked,4V,quiet,2,1,41.83188247680664
